title,link
"""
        Semana Nacional de Museus conta com exposições, debates sobre sustentabilidade e passeio mal-assombrado em Campinas
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=1&r=1684280165437&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fcampinas-regiao%2Fnoticia%2F2023%2F05%2F16%2Fsemana-nacional-de-museus-conta-com-exposicoes-debates-sobre-sustentabilidade-e-passeio-mal-assombrado-em-campinas.ghtml&syn=False&key=66f72da78d706a5bcb432b66fd310b2a"""
"""
        Lavras Rodeo Festival preza pelas boas práticas em prol da sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=2&r=1684280165442&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Fsul-de-minas%2Fespecial-publicitario%2Flavras-rodeo-festival%2Flavras-rodeo-festival%2Fnoticia%2F2023%2F05%2F16%2Flavras-rodeo-festival-preza-pelas-boas-praticas-em-prol-da-sustentabilidade.ghtml&syn=False&key=0a82e49ef3f66f14e792bde7cdae4a7c"""
"""
        Semana Nacional de Museus tem atividades em Uberlândia, Uberaba e região; veja programação
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=3&r=1684280165447&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Ftriangulo-mineiro%2Fnoticia%2F2023%2F05%2F16%2Fsemana-nacional-de-museus-tem-atividades-em-uberlandia-uberaba-e-regiao-veja-programacao.ghtml&syn=False&key=4a44bb0ebb21b1b08e863c0dfea69380"""
"""
        Amarê Fashion: semana de moda vai discutir sustentabilidade e causas sociais na edição de 2023
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=4&r=1684280165452&u=https%3A%2F%2Fg1.globo.com%2Fgo%2Fgoias%2Fnoticia%2F2023%2F05%2F11%2Famare-fashion-semana-de-moda-vai-discutir-sustentabilidade-e-causas-sociais-na-edicao-de-2023.ghtml&syn=False&key=0979d11cd7c9637bd3b2d377348cfa77"""
"""
        Sesi-RS promove evento sobre estratégias de sustentabilidade e conexões com a gestão da saúde integral no trabalho
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=7&r=1684280165522&u=https%3A%2F%2Fg1.globo.com%2Frs%2Frio-grande-do-sul%2Fnoticia%2F2023%2F05%2F09%2Fsesi-rs-promove-evento-sobre-estrategias-de-sustentabilidade-e-conexoes-com-a-gestao-da-saude-integral-no-trabalho.ghtml&syn=False&key=18928174fd9da2001a8ca3e5923740cc"""
"""
        Semana Nacional de Museus terá atividades em Bauru; veja programação
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=8&r=1684280165525&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fbauru-marilia%2Fnoticia%2F2023%2F05%2F14%2Fsemana-nacional-de-museus-tera-atividades-em-bauru-veja-programacao.ghtml&syn=False&key=a0708be0b8924bd44ef5905d68ca7990"""
"""
        Na retomada da quermesse da Festa do Divino, organização mantém projeto de sustentabilidade 'Divino Verde'
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=9&r=1684280165530&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fmogi-das-cruzes-suzano%2Ffesta-do-divino%2Fnoticia%2F2023%2F05%2F01%2Fna-retomada-da-quermesse-da-festa-do-divino-organizacao-mantem-projeto-de-sustentabilidade-divino-verde.ghtml&syn=False&key=8cb90ca9c54e67263cbecf658f711ef4"""
"""
        UFRR promove evento sobre biodiversidade e sustentabilidade na Amazônia Setentrional
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=10&r=1684280165534&u=https%3A%2F%2Fg1.globo.com%2Frr%2Froraima%2Fnoticia%2F2023%2F04%2F26%2Fufrr-promove-evento-sobre-biodiversidade-e-sustentabilidade-na-amazonia-setentrional.ghtml&syn=False&key=66575fd0ea5470598164b0c1bdb0d295"""
"""
        Maringá caminha a passos largos para o futuro
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=11&r=1684280165539&u=https%3A%2F%2Fg1.globo.com%2Fpr%2Fparana%2Fespecial-publicitario%2Fconstrutora-taec%2Fnoticia%2F2023%2F05%2F08%2Fmaringa-caminha-a-passos-largos-para-o-futuro.ghtml&syn=False&key=a7b51001fff7bcfd914a3f741def343c"""
"""
        AGROTECNOLEITE COMPLEM 2023: Sustentabilidade é empreender pensando no futuro, preservando as raízes
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=12&r=1684280165543&u=https%3A%2F%2Fg1.globo.com%2Fgo%2Fgoias%2Fespecial-publicitario%2Fcomplem%2Fnoticia%2F2023%2F04%2F25%2Fagrotecnoleite-complem-2023-sustentabilidade-e-empreender-pensando-no-futuro-preservando-as-raizes.ghtml&syn=False&key=3b6ba68b97810d4de896377dc27a1389"""
"""
        Lixo 100% reciclado e 'carbono zero': conheça as ações de sustentabilidade do STL Festival
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=13&r=1684280165617&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Fsul-de-minas%2Fstl-festival%2Fnoticia%2F2023%2F04%2F25%2Flixo-100percent-reciclado-e-carbono-zero-conheca-as-acoes-de-sustentabilidade-do-stl-festival.ghtml&syn=False&key=37ddf0fd52c4eea0bf6a1043430c6aa0"""
"""
        88ª ExpoZebu: evento aborda o futuro da pecuária internacional
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=14&r=1684280165622&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Ftriangulo-mineiro%2Fespecial-publicitario%2Fabcz%2Fexpozebu%2Fnoticia%2F2023%2F05%2F09%2F88a-expozebu-evento-aborda-o-futuro-da-pecuaria-internacional.ghtml&syn=False&key=7445214e4218666344b730d945d20ee2"""
