titulo,link
"
        Arquiteta dá dicas para tornar um imóvel mais sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=1&r=1684280853916&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsao-jose-do-rio-preto-aracatuba%2Fmercado-imobiliario-do-interior%2Fnoticia%2F2023%2F05%2F16%2Farquiteta-da-dicas-para-tornar-um-imovel-mais-sustentavel.ghtml&syn=False&key=4e89e76c3f5115bcf47e590c526e9911
"
        Materiais de obra sustentáveis que você precisa conhecer!
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=2&r=1684280853919&u=https%3A%2F%2Fg1.globo.com%2Frj%2Fregiao-dos-lagos%2Fespecial-publicitario%2Fvilarejo%2Fvilarejo-solucao-em-casa%2Fnoticia%2F2023%2F05%2F09%2Fmateriais-de-obra-sustentaveis-que-voce-precisa-conhecer.ghtml&syn=False&key=29624fe5ba1967354c7118ffd70cd74c
"
        Quanto pesa uma arroba? Teste seus conhecimentos no quiz sobre a carne bovina
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=3&r=1684280853921&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fagronegocios%2Fquiz%2Fcarne-bovina-teste-seus-conhecimentos-no-quiz.ghtml&syn=False&key=c48ca4957b6a173f6761b9161527eeaf
"
        A fascinante história da ilha que deu origem à cidade de Nova York e foi vendida por US$ 1
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=4&r=1684280853922&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2023%2F05%2F15%2Fa-fascinante-historia-da-ilha-que-deu-origem-a-cidade-de-nova-york-e-foi-vendida-por-us-1.ghtml&syn=False&key=25e5bb6facaabe8726fb8399af47a914
"
        Fundo Social de Rio Claro transforma banners do carnaval em sacolas sustentáveis
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=5&r=1684280853924&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsao-carlos-regiao%2Fnoticia%2F2023%2F04%2F29%2Ffundo-social-de-rio-claro-transforma-banners-do-carnaval-em-sacolas-sustentaveis.ghtml&syn=False&key=d1902d685976a360ec8995ad17e9981d
"
        Interesse por produção sustentável e orgânica aumentou nos últimos 20 anos
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=6&r=1684280853926&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsorocaba-jundiai%2Fnosso-campo%2Fnoticia%2F2023%2F05%2F07%2Finteresse-por-producao-sustentavel-e-organica-aumentou-nos-ultimos-20-anos.ghtml&syn=False&key=f6c1736dc7c2c4c071433beae7435ce4
"
        A fascinante história da ilha que deu origem à cidade de Nova York e foi vendida por US$ 1
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=7&r=1684280853966&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2023%2F05%2F14%2Fa-fascinante-historia-da-ilha-que-deu-origem-a-cidade-de-nova-york-e-foi-vendida-por-us-1.ghtml&syn=False&key=9c4a487e7004ad1637d5d55af9f1c542
"
        Projeto de empreendedorismo sustentável para jovens recebe inscrições até domingo, 7
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=8&r=1684280853969&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fsantarem-regiao%2Fnoticia%2F2023%2F05%2F05%2Fprojeto-de-empreendedorismo-sustentavel-para-jovens-recebe-inscricoes-ate-domingo-7.ghtml&syn=False&key=7663decfee073999fd8bbe883022d25c
"
        Cooperativas de crédito paraenses encontram nos princípios ESG o caminho para um futuro sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=9&r=1684280853971&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fpara%2Fespecial-publicitario%2Fsicoob%2Fcooperativismo%2Fnoticia%2F2023%2F05%2F02%2Fcooperativas-de-credito-paraenses-encontram-nos-principios-esg-o-caminho-para-um-futuro-sustentavel.ghtml&syn=False&key=2b281487dd93cc5cc1cbf72fafd4d7d5
"
        Economia sustentável: número de brechós aumenta mais de 30% no ES
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=10&r=1684280853973&u=https%3A%2F%2Fg1.globo.com%2Fes%2Fespirito-santo%2Fnoticia%2F2023%2F05%2F07%2Feconomia-sustentavel-numero-de-brechos-aumenta-mais-de-30percent-no-es.ghtml&syn=False&key=305662e6afd45cf44606f6c8fc3da83c
"
        Orgânicos, Biodinâmicos e Veganos: o futuro dos vinhos chegou
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=11&r=1684280853976&u=https%3A%2F%2Fg1.globo.com%2Fpr%2Fparana%2Fespecial-publicitario%2Fporto-a-porto%2Fguia-do-vinho-e-da-gastronomia%2Fnoticia%2F2023%2F05%2F08%2Forganicos-biodinamicos-e-veganos-o-futuro-dos-vinhos-chegou.ghtml&syn=False&key=3bbb8ca9b594be7089df66e94804695b
"
        Ministério do Meio Ambiente realiza evento sobre inovação e empreendedorismo sustentável em Boa Vista
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=12&r=1684280853978&u=https%3A%2F%2Fg1.globo.com%2Frr%2Froraima%2Fnoticia%2F2023%2F05%2F05%2Fministerio-do-meio-ambiente-realiza-evento-sobre-inovacao-e-empreendedorismo-sustentavel-em-boa-vista.ghtml&syn=False&key=863e67af00368797d8985fefe3d7ae53
