title,link
"""
        Profissões do setor da tecnologia e sustentabilidade estão em alta em 2023
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=18&r=1684280166242&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11583053%2F&syn=False&key=d9e63302b72e17cc9361c52c564e4789"""
"""
        UFRR promove evento sobre biodiversidade e sustentabilidade na Amazônia Setentrional
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=19&r=1684280166246&u=https%3A%2F%2Fg1.globo.com%2Frr%2Froraima%2Fnoticia%2F2023%2F04%2F26%2Fufrr-promove-evento-sobre-biodiversidade-e-sustentabilidade-na-amazonia-setentrional.ghtml&syn=False&key=66575fd0ea5470598164b0c1bdb0d295"""
"""
        Representante da Google no Brasil discute sustentabilidade em visita ao Grupo Liberal
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=68&r=1684280168912&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11505470%2F&syn=False&key=f1f91d57b0adc8ac16a79cf6eb740b07"""
"""
        Encontro Nacional vai debater práticas de sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=138&r=1684280172260&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11206090%2F&syn=False&key=245c3163110ba41f43e3ec1043d1b77c"""
"""
        Centro de Sustentabilidade coordena participação do Sebrae na COP 27
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=157&r=1684280172868&u=https%3A%2F%2Fg1.globo.com%2Fmt%2Fmato-grosso%2Fespecial-publicitario%2Fsebrae-mt%2Fempreendedorismo%2Fnoticia%2F2022%2F11%2F07%2Fcentro-de-sustentabilidade-coordena-participacao-do-sebrae-na-cop-27.ghtml&syn=False&key=dad499f1fea17e0098760cf6731706b1"""
"""
        Sustentabilidade em Nova Friburgo
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=163&r=1684280172971&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10924851%2F&syn=False&key=d5430e51d27b19a1eaacbee1cb88f73a"""
"""
        Agro 5.0: A busca pela sustentabilidade no campo
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=166&r=1684280173507&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11148339%2F&syn=False&key=d84b019014f55cf8392831f58a295568"""
"""
        Compensação ambiental com reflorestamento, SANASA implementa a sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=167&r=1684280173511&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fcampinas-regiao%2Fespecial-publicitario%2Fsanasa%2Fmomento-sustentabilidade%2Fnoticia%2F2022%2F10%2F24%2Fcompensacao-ambiental-com-reflorestamento-sanasa-implementa-a-sustentabilidade.ghtml&syn=False&key=473287e960a226a1d30fcf0738eb1d90"""
"""
        O Cerrado mineiro está completando meio século de história, um legado de pioneirismo, sustentabilidade e qualidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=173&r=1684280173595&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Ftriangulo-mineiro%2Fespecial-publicitario%2Fouro-do-cerrado%2Fouro-do-cerrado%2Fnoticia%2F2022%2F11%2F24%2Fo-cerrado-mineiro-esta-completando-meio-seculo-de-historia-um-legado-de-pioneirismo-sustentabilidade-e-qualidade.ghtml&syn=False&key=2a42251b826e1274b0477d67d6503039"""
"""
        Em Israel, Grupo EZOS debate inovação, sustentabilidade e ampliação de mercado
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=174&r=1684280173600&u=https%3A%2F%2Fg1.globo.com%2Fsc%2Fsanta-catarina%2Fespecial-publicitario%2Fgrupo-ezos%2Fgrupo-ezos%2Fnoticia%2F2022%2F11%2F23%2Fem-israel-grupo-ezos-debate-inovacao-sustentabilidade-e-ampliacao-de-mercado.ghtml&syn=False&key=0cf919ccf5e3e27680e0df26741cf427"""
"""
        Evento discute sustentabilidade em Florianópolis
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=176&r=1684280173608&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10938147%2F&syn=False&key=8d03458529612656c4ef413717f8a755"""
"""
        40ª edição da ExpoApras começa nesta terça-feira (18) na Região de Curitiba
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=179&r=1684280173698&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11545177%2F&syn=False&key=92f899601d9dbfd7d057833534044b1e"""
"""
        Festival de Sustentabilidade em Nova Friburgo
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=186&r=1684280174427&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10927003%2F&syn=False&key=e32e273221240ae79dc5d8a9b5911d4c"""
"""
        Aulão na Rede: Professor de geografia fala sobre sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=189&r=1684280174438&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11102909%2F&syn=False&key=9f18fabf592c46e96178757d3cf1db8f"""
"""
        Movido a energia solar, cinema itinerante exibe filmes em Boituva
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=190&r=1684280174442&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fitapetininga-regiao%2Fnoticia%2F2023%2F05%2F15%2Fmovido-a-energia-solar-cinema-itinerante-exibe-filmes-em-boituva.ghtml&syn=False&key=b3a2089a30650b1414964cf85a56a2e7"""
"""
        Haddad, Lira e Cajado se reúnem e parecer da nova regra fiscal deve ser finalizado nesta segunda
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=197&r=1684280175384&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2023%2F05%2F15%2Fhaddad-lira-e-cajado-se-reunem-e-parecer-da-nova-regra-fiscal-deve-ser-finalizado-nesta-segunda.ghtml&syn=False&key=fc92c87e4e7530ae78da8f275525c160"""
"""
        Entenda votação que aprovou emenda que exclui termos 'promoção de direitos humanos', 'diversidade' e 'sustentabilidade' do Plano Municipal de Educação de Mogi
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=199&r=1684280175471&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fmogi-das-cruzes-suzano%2Fnoticia%2F2022%2F12%2F21%2Fentenda-votacao-que-aprovou-emenda-que-exclui-promocao-de-direitos-humanos-diversidade-e-sustentabilidade-do-plano-municipal-de-educacao.ghtml&syn=False&key=ee7f959fedfcdfe4e176041a901ef37b"""
"""
        Clima favorece produção de cafés de região que é reconhecida por investir em sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=201&r=1684280175480&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Ftriangulo-mineiro%2Fespecial-publicitario%2Fouro-do-cerrado%2Fouro-do-cerrado%2Fnoticia%2F2022%2F11%2F04%2Fclima-favorece-producao-de-cafes-de-regiao-que-e-reconhecida-por-investir-em-sustentabilidade.ghtml&syn=False&key=47b86ece7968ef752a369c6b30efc935"""
"""
        Evento online discute negócios e sustentabilidade em Cuiabá
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=202&r=1684280175485&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11058901%2F&syn=False&key=cad0648dd767a784b9e94744b6fc6ec3"""
"""
        Pedro Cunha Lima promete investir em sustentabilidade na Paraíba
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=203&r=1684280175489&u=https%3A%2F%2Fg1.globo.com%2Fpb%2Fparaiba%2Feleicoes%2F2022%2Fnoticia%2F2022%2F09%2F20%2Fpedro-cunha-lima-promete-investir-em-sustentabilidade-na-paraiba.ghtml&syn=False&key=080bb4adbd1f9d7ac8ac9a770bcc700a"""
"""
        Mauro Benevides Filho: teto deve considerar sustentabilidade da dívida e arrecadação maior
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=205&r=1684280175571&u=https%3A%2F%2Fg1.globo.com%2Fglobonews%2Fespecial-de-domingo%2Fvideo%2Fmauro-benevides-filho-teto-deve-considerar-sustentabilidade-da-divida-e-arrecadacao-maior-11159864.ghtml&syn=False&key=f1e28d7cc1af7de5981105a54d011884"""
"""
        Centro de Estudos em Sustentabilidade faz estudo sobre mudanças climáticas no Alto Tietê
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=207&r=1684280175579&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11146419%2F&syn=False&key=319d661fe7c31b320c5ed081a05f6f72"""
"""
        MG1 começa série sobre mobilidade urbana e sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=209&r=1684280175590&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11040881%2F&syn=False&key=f397af180f74b84410c725c67ce2872b"""
"""
        Sustentabilidade: energia renovável é usada na produção de azeitonas brasileiras
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=213&r=1684280176372&u=https%3A%2F%2Fg1.globo.com%2Fpr%2Fparana%2Fespecial-publicitario%2Fvale-fertil%2Fvale-dica-por-especialistas-em-azeitonas%2Fnoticia%2F2022%2F09%2F20%2Fsustentabilidade-energia-renovavel-e-usada-na-producao-de-azeitonas-brasileiras.ghtml&syn=False&key=c3c35c740177f75153a2f9d9a5985b9e"""
"""
        Arquiteta dá dicas para tornar um imóvel mais sustentável
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=214&r=1684280176376&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsao-jose-do-rio-preto-aracatuba%2Fmercado-imobiliario-do-interior%2Fnoticia%2F2023%2F05%2F16%2Farquiteta-da-dicas-para-tornar-um-imovel-mais-sustentavel.ghtml&syn=False&key=2f26993e7e0254446b05e8e3a8fcfc0a"""
"""
        Sustentabilidade ganha força em construções na Baixada Santista
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=220&r=1684280176403&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsantos-regiao%2Fespecial-publicitario%2Fsummit-da-construcao-civil%2Fmercado-imobiliario-baixada-santista%2Fnoticia%2F2022%2F08%2F25%2Fsustentabilidade-ganha-forca-em-construcoes-na-baixada-santista.ghtml&syn=False&key=aba654114317559cb9a224f3da6c62c9"""
"""
        Oásis Beach Residence Chama Atenção Também Pelo Seu Paisagismo e Arquitetura
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=224&r=1684280176473&u=https%3A%2F%2Fg1.globo.com%2Fal%2Falagoas%2Fespecial-publicitario%2Fvale-empreendimento-imobiliari%2Flitoral-sul-novas-descobertas-para-alagoas%2Fnoticia%2F2023%2F03%2F21%2Foasis-beach-residence-chama-atencao-tambem-pelo-seu-paisagismo-e-arquitetura.ghtml&syn=False&key=32b0a05e4ab67cc3911faec028284cc8"""
"""
        Escola municipal de Ponta Grossa é modelo de sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=225&r=1684280176479&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11009300%2F&syn=False&key=bd9ee720e1f55fd72c93104af9ceb383"""
"""
        Comunidade Vila Claudete, no Cabo de Santo Agostinho, é exemplo de sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=226&r=1684280177497&u=https%3A%2F%2Fg1.globo.com%2Fpe%2Fpernambuco%2Fne1%2Fvideo%2Fcomunidade-vila-claudete-no-cabo-de-santo-agostinho-e-exemplo-de-sustentabilidade-11130133.ghtml&syn=False&key=8ecbf2caace7104760d3dd16798fcf06"""
"""
        Feira da Sustentabilidade em Nova Friburgo, RJ
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=231&r=1684280177519&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10926468%2F&syn=False&key=5abc4fc3bea9b622b5d141563a116344"""
"""
        'Semana Nacional de Museus' tem programação gratuita em espaços culturais de Manaus
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=234&r=1684280177603&u=https%3A%2F%2Fg1.globo.com%2Fam%2Famazonas%2Fnoticia%2F2023%2F05%2F15%2Fsemana-nacional-de-museus-tem-programacao-gratuita-em-espacos-culturais-de-manaus.ghtml&syn=False&key=758bd4afbf574bf362891978710b279e"""
"""
        Projeto da Justiça do Trabalho alia conciliação e sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=238&r=1684280177699&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10959189%2F&syn=False&key=ee1f6af5da43b03fa4dbc2ca40f0a78b"""
"""
        Oktoberfest Blumenau espera receber 600 mil pessoas com ações de sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=240&r=1684280177705&u=https%3A%2F%2Fg1.globo.com%2Fjornal-nacional%2Fnoticia%2F2022%2F10%2F13%2Foktoberfest-blumenau-espera-receber-600-mil-pessoas-com-acoes-de-sustentabilidade.ghtml&syn=False&key=9dbfb084d6e89da165ed75ecd2ce7c3b"""
"""
        Pedro Cunha Lima promete investir em sustentabilidade na Paraíba
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=241&r=1684280178327&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10952673%2F&syn=False&key=3ec3beeb0915368b8d2da8d3f2390430"""
"""
        Feira Pará Negócios lança programação da edição 2023
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=242&r=1684280178329&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fpara%2Fnoticia%2F2023%2F05%2F15%2Ffeira-para-negocios-lanca-programacao-da-edicao-2023.ghtml&syn=False&key=1fab880eaac547940a71273490b3779e"""
"""
        Evento gastronômico reúne música, esporte e sustentabilidade no Taquaral, em Campinas
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=247&r=1684280178338&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fcampinas-regiao%2Fnoticia%2F2022%2F10%2F07%2Fevento-gastronomico-reune-musica-esporte-e-sustentabilidade-no-taquaral-em-campinas.ghtml&syn=False&key=172df5889aaeb56954c5d28e20019e4f"""
