titulo,link
"
        Arquiteta dá dicas para tornar um imóvel mais sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=1&r=1684280090743&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsao-jose-do-rio-preto-aracatuba%2Fmercado-imobiliario-do-interior%2Fnoticia%2F2023%2F05%2F16%2Farquiteta-da-dicas-para-tornar-um-imovel-mais-sustentavel.ghtml&syn=False&key=c54fab191197f772524ecfc5e9448f94
"
        Quanto pesa uma arroba? Teste seus conhecimentos no quiz sobre a carne bovina
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=2&r=1684280090746&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fagronegocios%2Fquiz%2Fcarne-bovina-teste-seus-conhecimentos-no-quiz.ghtml&syn=False&key=26b115f4ba735785f5f40253412e98f0
"
        Interesse por produção sustentável e orgânica aumentou nos últimos 20 anos
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=3&r=1684280090747&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsorocaba-jundiai%2Fnosso-campo%2Fnoticia%2F2023%2F05%2F07%2Finteresse-por-producao-sustentavel-e-organica-aumentou-nos-ultimos-20-anos.ghtml&syn=False&key=27a536e9a882e991aef9384627132f18
"
        Economia sustentável: número de brechós aumenta mais de 30% no ES
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=4&r=1684280090805&u=https%3A%2F%2Fg1.globo.com%2Fes%2Fespirito-santo%2Fnoticia%2F2023%2F05%2F07%2Feconomia-sustentavel-numero-de-brechos-aumenta-mais-de-30percent-no-es.ghtml&syn=False&key=336916e48e9305451f50069fde546e95
"
        Materiais de obra sustentáveis que você precisa conhecer!
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=5&r=1684280090808&u=https%3A%2F%2Fg1.globo.com%2Frj%2Fregiao-dos-lagos%2Fespecial-publicitario%2Fvilarejo%2Fvilarejo-solucao-em-casa%2Fnoticia%2F2023%2F05%2F09%2Fmateriais-de-obra-sustentaveis-que-voce-precisa-conhecer.ghtml&syn=False&key=999ffab6c2fedb0199c8d2056e21bd5d
"
        Ministério do Meio Ambiente realiza evento sobre inovação e empreendedorismo sustentável em Boa Vista
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=6&r=1684280090810&u=https%3A%2F%2Fg1.globo.com%2Frr%2Froraima%2Fnoticia%2F2023%2F05%2F05%2Fministerio-do-meio-ambiente-realiza-evento-sobre-inovacao-e-empreendedorismo-sustentavel-em-boa-vista.ghtml&syn=False&key=6b9e15d9064b1f9fc898534d4365fac3
"
        Projeto de empreendedorismo sustentável para jovens recebe inscrições até domingo, 7
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=7&r=1684280090813&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fsantarem-regiao%2Fnoticia%2F2023%2F05%2F05%2Fprojeto-de-empreendedorismo-sustentavel-para-jovens-recebe-inscricoes-ate-domingo-7.ghtml&syn=False&key=dcd90da9d605f1ff821f5f308e5bf31c
"
        Aeroporto Regional da Zona da Mata é o primeiro do Brasil a receber selo internacional de construção sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=8&r=1684280090815&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Fzona-da-mata%2Fnoticia%2F2023%2F05%2F07%2Faeroporto-regional-da-zona-da-mata-e-o-primeiro-do-brasil-a-receber-selo-internacional-de-construcao-sustentavel.ghtml&syn=False&key=281519a83bb0604de618fbfc114df012
"
        Cooperativas de crédito paraenses encontram nos princípios ESG o caminho para um futuro sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=9&r=1684280090817&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fpara%2Fespecial-publicitario%2Fsicoob%2Fcooperativismo%2Fnoticia%2F2023%2F05%2F02%2Fcooperativas-de-credito-paraenses-encontram-nos-principios-esg-o-caminho-para-um-futuro-sustentavel.ghtml&syn=False&key=b4e829b2fc52a2ff56eb142af0f59f05
"
        A fascinante história da ilha que deu origem à cidade de Nova York e foi vendida por US$ 1
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=10&r=1684280090819&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2023%2F05%2F15%2Fa-fascinante-historia-da-ilha-que-deu-origem-a-cidade-de-nova-york-e-foi-vendida-por-us-1.ghtml&syn=False&key=0a0285620b7a57eb25035e401e50d511
"
        Atrasada 7 anos, revisão do Plano Diretor de Capivari começa a ser discutida com foco em enchentes e desenvolvimento sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=11&r=1684280090820&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fpiracicaba-regiao%2Fnoticia%2F2023%2F05%2F03%2Fatrasada-7-anos-revisao-do-plano-diretor-de-capivari-comeca-a-ser-discutida-com-foco-em-enchentes-e-desenvolvimento-sustentavel.ghtml&syn=False&key=8fbd70d9862b09537d73d8bc60aa7482
"
        88ª ExpoZebu dará destaque para pecuária sustentável, carne e carbono
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=12&r=1684280090822&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Ftriangulo-mineiro%2Fespecial-publicitario%2Fabcz%2Fexpozebu%2Fnoticia%2F2023%2F04%2F27%2F88a-expozebu-dara-destaque-para-pecuaria-sustentavel-carne-e-carbono.ghtml&syn=False&key=a13a7ec2f346b576c9dcab6581d46335
"
        A fascinante história da ilha que deu origem à cidade de Nova York e foi vendida por US$ 1
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=13&r=1684280090824&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2023%2F05%2F14%2Fa-fascinante-historia-da-ilha-que-deu-origem-a-cidade-de-nova-york-e-foi-vendida-por-us-1.ghtml&syn=False&key=f4ea8b808101e0a86cb3096042a75387
"
        Hospital recebe recertificação como signatário do Movimento de Objetivos de Desenvolvimento Sustentável (ODS)
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=14&r=1684280090826&u=https%3A%2F%2Fg1.globo.com%2Fsc%2Fsanta-catarina%2Fespecial-publicitario%2Fgrupo-ezos%2Fgrupo-ezos%2Fnoticia%2F2023%2F04%2F25%2Fhospital-recebe-recertificacao-como-signatario-do-movimento-de-objetivos-de-desenvolvimento-sustentavel-ods.ghtml&syn=False&key=1eeb1a1bbca552c1c9cff0eba198c387
"
        Segunda edição da ExpoAmazônia Bio&Tic é lançada em Manaus
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=15&r=1684280090828&u=https%3A%2F%2Fg1.globo.com%2Fam%2Famazonas%2Fnoticia%2F2023%2F05%2F11%2Fsegunda-edicao-da-expoamazonia-bioandtic-e-lancada-em-manaus.ghtml&syn=False&key=85348255b4b0f47edaadaf822b95658b
