title,link
"""
        Iniciativa permite que consumidores degustem produtos sustentáveis
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=33&r=1684280092273&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11589036%2F&syn=False&key=fa21de9fb0def8d0ded15849a532bc5c"""
"""
        Estado lança Agenda Acre 10 anos; plano visa desenvolvimento sustentável e socioeconômico
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=40&r=1684280092373&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11565962%2F&syn=False&key=bca9ec711b4d19b30810de1d70d238ef"""
"""
        Echos da Amazônia: projeto mostra ações sustentáveis
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=45&r=1684280092395&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11579981%2F&syn=False&key=8b49f6a87174fc8466cb38e15927edd9"""
"""
        Bancos e tapetes sustentáveis
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=49&r=1684280092861&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11555659%2F&syn=False&key=7d9383e06553aaf3afd27812db5138a0"""
"""
        São Gonçalo recebe feira de educação, cidadania e empreendedorismo sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=119&r=1684280096857&u=https%3A%2F%2Fg1.globo.com%2Frj%2Frio-de-janeiro%2Frj1%2Fvideo%2Fsao-goncalo-recebe-feira-de-educacao-cidadania-e-empreendedorismo-sustentavel-11419546.ghtml&syn=False&key=3dcd5aae8851ddb1c18d1a8c95d7a064"""
"""
        Praia do Futuro é decretada como área de turismo sustentável pela Prefeitura de Fortaleza
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=177&r=1684280101055&u=https%3A%2F%2Fg1.globo.com%2Fce%2Fceara%2Fnoticia%2F2023%2F01%2F13%2Fpraia-do-futuro-e-decretada-como-area-de-turismo-sustentavel-pela-prefeitura-de-fortaleza.ghtml&syn=False&key=23daf089f293f3448b632a96533b56e5"""
"""
        Calendário florestal: Confira período de proibição da exploração do manejo sustentável em RO
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=211&r=1684280103099&u=https%3A%2F%2Fg1.globo.com%2Fro%2Frondonia%2Frondonia-rural%2Fnoticia%2F2022%2F12%2F20%2Fcalendario-florestal-confira-periodo-de-proibicao-da-exploracao-do-manejo-sustentavel-em-ro.ghtml&syn=False&key=e89b90fd200dc855a26005382ce6030f"""
"""
        Haddad: 'Todo mundo sabia que o teto de gastos não é sustentável'
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=224&r=1684280103233&u=https%3A%2F%2Fg1.globo.com%2Fglobonews%2Festudio-i%2Fvideo%2Fhaddad-todo-mundo-sabia-que-o-teto-de-gastos-nao-e-sustentavel-11204842.ghtml&syn=False&key=711f02e5b123e615af54449870a1c09f"""
"""
        Mais que bilíngues: Sabin forma cidadãos multiculturais
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=267&r=1684280105393&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fribeirao-preto-franca%2Fespecial-publicitario%2Fsabin%2Fformando-cidadaos-globais%2Fnoticia%2F2023%2F05%2F08%2Fmais-que-bilingues-sabin-forma-cidadaos-multiculturais.ghtml&syn=False&key=d011b0e42a556865768ec9d951f5af47"""
"""
        Ministério Público abre vagas de estágio com bolsa de até R$ 2 mil
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=300&r=1684280106873&u=https%3A%2F%2Fg1.globo.com%2Fce%2Fceara%2Fsuachance%2Fnoticia%2F2023%2F05%2F16%2Fministerio-publico-abre-vagas-de-estagio-com-bolsa-de-ate-r-2-mil.ghtml&syn=False&key=1491c99c21d0ba86e97772827b35334c"""
